Text	RRID	Name	TargetAntigen	VendorName	VendorCat	Clonality	CloneName	RaisedIn	Comments	AntigenSpecies	DefiningManuscriptId	Role	Applications	IsoType	Type	AntigenSpecies	TargetCells	PositiveControl	UsageNotes	Dilution	DilutionUnits	Rating	AntibodyConjugate	Description
guinea pig anti-porcine insulin (A0564, DAKO, 1:600)	AB_10013624	Insulin antibody	INS	Agilent	A0564	polyclonal		guinea pig	Used By NYUIHC-1248. Original Manufacturer: Dako. Now part of Agilent.		PMID30760930	Contact	confocal fluorescence microscopy			porcine				1:600				
 chicken anti-insulin (GW10064F, Sigma, 1:1,000)	AB_1851818	Anti-Insulin antibody produced in chicken	INS	Sigma-Aldrich	GW10064F			chicken	Vendor recommendations: ELISA; Western Blot; Immunoblotting, Indirect ELISA	human	PMID30760930	Contact	confocal fluorescence microscopy			human				1:1000				
 mouse anti-glucagon (G2654, Sigma, 1:1,000)	AB_259852	Monoclonal Anti-Glucagon antibody produced in mouse	GCG	Sigma-Aldrich	G2654	monoclonal			Vendor recommendations: IgG1  dot blot: suitable, immunohistochemistry (formalin-fixed, paraffin-embedded sections): 1:2,000	porcine|rabbit|human|guinea pig|mouse|rat	PMID30760930	Contact	confocal fluorescence microscopy			human				1:1000				
 rabbit anti-glucagon (A0565, DAKO, 1:600)	AB_10013726	Polyclonal Rabbit Anti-Human Glucagon antibody	GCG	Agilent	A0565	polyclonal		rabbit	Applications: Immunohistochemistry. Original Manufacturer: Dako. Now part of Agilent.	human	PMID30760930	Contact	confocal fluorescence microscopy			human				1:600				
 rabbit anti-somatostatin (A0566, DAKO, 1:600)	AB_2688022	Polyclonal Rabbit Anti-Human Somatostatin antibody	Somatostatin	Agilent	A0566	polyclonal		rabbit	Applications: Immunohistochemistry. Original Manufacturer: Dako. Now part of Agilent.	human	PMID30760930	Contact	confocal fluorescence microscopy			human				1:600				
 rabbit anti-pancreatic polypeptide (T-4088, PenLabs, 1:750)	AB_518533	Rabbit Anti-Human Pancreatic Polypeptide Antibody, Unconjugated	Pancreatic Polypeptide	Peninsula Laboratories	T-4088.0050			rabbit	Discontinued: 2014; manufacturer recommendations: Immunohistochemistry	human	PMID30760930	Contact	confocal fluorescence microscopy			human				1:750				
 goat anti-ghrelin (sc-10368, SantaCruz, 1:200)	AB_2232479	Anti-ghrelin (C-18) Antibody	GHRL	Santa Cruz Biotechnology	sc-10368	polyclonal	C-18	goat	Discontinued: 2016; validation status unknown check with seller; recommendations:  ELISA; Immunofluorescence; Immunoprecipitation; Western Blot; Western Blotting, Immunoprecipitation, Immunofluorescence, ELISA	human|mouse|rat	PMID30760930	Contact	confocal fluorescence microscopy			human				1:200				
 chicken anti-GFP (ab-13970, Abcam, 1:500)	AB_300798	Anti-GFP antibody	GFP	Abcam	ab13970	polyclonal		chicken	Suitable for: IHC-P, WB, IHC - Wholemount, IHC-FrFl, ICC/IF, IHC-Fr, IHC-FoFr		PMID30760930	Contact	confocal fluorescence microscopy			human				1:500				
 rabbit anti-MAFA (A300-611A, Bethyl, 1:500)	AB_2779341	MafA Polyclonal Antibody	MafA	Thermo Fisher Scientific	A300-611A-M also A300-611A-T	polyclonal		rabbit	Applications: WB (1:1,000)	mouse	PMID30760930	Contact	confocal fluorescence microscopy			human				1:500				
 rabbit anti-pHH3 (06-570, Upstate, 1:500)	AB_310177	Anti-phospho-Histone H3 (Ser10), Mitosis Marker antibody	phospho-Histone H3 (Ser10) Mitosis Marker	Millipore	06-570	polyclonal		rabbit	seller recommendations: IC, IP, WB; Immunoprecipitation; Western Blot; Immunocytochemistry		PMID30760930	Contact	confocal fluorescence microscopy			human				1:500				
 rabbit anti-CD31 (ab28364, abcam, 1:50)	AB_726362	CD31 antibody	CD31	Abcam	ab28364	polyclonal		rabbit	validation status unknown, seller recommendations provided in 2012:  Immunocytochemistry; Immunofluorescence; Immunohistochemistry; Western Blot; Immunohistochemistry - frozen; Immunohistochemistry - fixed; ICC/IF, IHC-Fr, IHC-FrFl, IHC-P, WB	human|mouse|rat	PMID30760930	Contact	confocal fluorescence microscopy			human				1:50				
 rabbit anti-vimentin (ab92547, abcam, 1:100)	AB_10562134	Vimentin antibody [EPR3776]	Vimentin	Abcam	ab92547	monoclonal		rabbit	validation status unknown, seller recommendations provided in 2012:  Flow Cyt, ICC, ICC/IF, IHC-P, IP, WB; Immunocytochemistry; Immunoprecipitation; Immunohistochemistry - fixed; Western Blot; Flow Cytometry; Immunofluorescence; Immunohistochemistry	human|mouse|rat	PMID30760930	Contact	confocal fluorescence microscopy			human|mouse|rat				1:100				
 rabbit anti-tyrosine hydroxylase (ab152, chemicon, 1:1,000)	AB_390204	Anti-Tyrosine Hydroxylase Antibody	Tyrosine Hydroxylase	Millipore	AB152	polyclonal		rabbit	validated for use in ELISA, IF, IH, IH(P), IP and WB.	human|mouse|rat	PMID30760930	Contact	confocal fluorescence microscopy			human|mouse|rat				1:1000				
 guinea pig anti-ARX (AB2834, BCBC, 1:100)	AB_10014694	Guinea Pig polyclonal anti-ARX antibody	ARX	Beta Cell Biology Consortium	AB_10014694	polyclonal		guinea pig	validation status unknown, seller recommendations provided in 2012:  Western Blot; WB	human|mouse	PMID30760930	Contact	confocal fluorescence microscopy			human|mouse|rat				1:100				
 rabbit anti-synaptophysin (A0010, DAKO, 1:50).	AB_2315411	Synaptophysin antibody	Synaptophysin	Agilent	A0010				Original Manufacturer: Dako. Now part of Agilent.		PMID30760930	Contact	confocal fluorescence microscopy			human				1:50				
