"PMID","Status"
3130953,"to do"
31292135,"to do"
31320928,"to do"
31265435,"to do"
31221801,"to do"
31250214,"to do"
31217192,"to do"
31186447,"to do"
31171693,"to do"
31167894,"to do"
31237424,"to do"
31127054,"to do"
31116975,"to do"
31087105,"to do"
31068696,"to do"
31118934,"to do"
31329892,"to do"
30955045,"to do"
30936567,"to do"
30920391,"to do"
30846584,"to do"
30906293,"to do"
30843680,"to do"
30847553,"to do"
30833470,"to do"
30767048,"to do"
30760930,"to do"
30760760,"to do"
30593536,"to do"
30701283,"to do"
30713110,"harvested"
30661759,"to do"
30644734,"to do"
30713109,"harvested"
30629603,"to do"
30620904,"to do"
30610162,"to do"
30581120,"to do"
30571786,"to do"
30547228,"to do"
30581122,"harvested"
30530850,"to do"
30507613,"to do"
30507980,"to do"
30498206,"to do"
30502039,"to do"
30473098,"to do"
30478640,"to do"
30555789,"to do"
30375896,"to do"
30392959,"to do"
30425060,"to do"
30449685,"harvested"
30420428,"to do"
29088923,"to do"
30398401,"to do"
30873298,"to do"
30383447,"to do"
30352048,"to do"
30361701,"harvested"
30269996,"to do"
30267158,"to do"
30259209,"to do"
30242153,"harvested"
30298069,"to do"
30230174,"to do"
30224090,"to do"
30316806,"harvested"
30210768,"harvested"
30192441,"to do"
30203041,"to do"
29976617,"to do"
29514186,"to do"
30150306,"to do"
30165064,"to do"
30170319,"to do"
30131394,"to do"
30109329,"to do"
30112687,"to do"
30104245,"to do"
30145115,"harvested"
30089728,"harvested"
30089716,"to do"
30082321,"to do"
30271983,"harvested"
30073765,"to do"
30144424,"to do"
30059217,"to do"
30078552,"harvested"
30031057,"to do"
30057067,"to do"
30022164,"harvested"
30030120,"to do"
29934364,"to do"
30084829,"harvested"
29937434,"to do"
29941660,"harvested"
29925683,"to do"
29920277,"to do"
29916386,"to do"
29857311,"to do"
29708512,"to do"
29812970,"to do"
29884461,"harvested"
29797682,"to do"
29797095,"to do"
29846237,"to do"
29795574,"to do"
29795194,"to do"
29784660,"to do"
29770834,"to do"
29769672,"to do"
29593094,"to do"
29718662,"to do"
29438107,"to do"
29771178,"to do"
29171129,"to do"
29712852,"harvested"
29712667,"harvested"
29691397,"to do"
29694896,"to do"
29669939,"harvested"
29713384,"to do"
29671030,"harvested"
29654212,"to do"
29584399,"to do"
29650351,"to do"
29569324,"harvested"
29562162,"to do"
29605184,"harvested"
29540798,"harvested"
29559955,"to do"
29514095,"to do"
29491378,"harvested"
29527189,"to do"
29550076,"harvested"
29467825,"to do"
29444430,"to do"
29434325,"harvested"
29416045,"to do"
29432124,"to do"
29396395,"harvested"
29040675,"to do"
29356688,"to do"
29329189,"to do"
29311365,"harvested"
5890912,"to do"
29305625,"to do"
29298866,"harvested"
29295631,"to do"
29218887,"to do"
29568813,"to do"
29218913,"to do"
28938416,"harvested"
29289569,"to do"
29203669,"harvested"
29246973,"harvested"
29235528,"harvested"
29238404,"to do"
29211979,"to do"
28795399,"to do"
29170549,"to do"
29128936,"to do"
29109122,"to do"
29106387,"harvested"
29101219,"to do"
29175121,"to do"
29123516,"to do"
29065385,"to do"
29093700,"to do"
29296847,"to do"
28992525,"to do"
28974764,"to do"
28759008,"to do"
29264452,"to do"
28886991,"to do"
28988715,"to do"
28826231,"to do"
28615219,"to do"
28765000,"to do"
28628037,"to do"
28630491,"to do"
28468798,"to do"
28581443,"to do"
28190264,"to do"
28336465,"to do"
28323959,"to do"
27920091,"to do"
5248995,"to do"
NA,"to do"
27905899,"to do"
27896976,"to do"
27653037,"to do"
27577853,"to do"
27424808,"to do"
26760572,"to do"
27345866,"to do"
27268909,"to do"
27199118,"to do"
26994137,"to do"
26818894,"to do"
26875099,"to do"
26997272,"to do"
26963742,"to do"
26644351,"to do"
26840096,"to do"
27150084,"to do"
26581546,"to do"
26675253,"to do"
26689120,"to do"
26426331,"to do"
4588731,"to do"
26485614,"to do"
26065037,"to do"
24194521,"to do"
25648890,"to do"
25651184,"to do"
25303535,"to do"
24862269,"to do"
23921314,"to do"
18772604,"to do"
